ITA,SCN,LOCAL,DEMONYM,FROM_CS,FROM_CSFLS,FROM_DT
Acate,Vìscari,"Vìscari, Acati",viscarotu,TRUE,TRUE,TRUE
Aci Bonaccorsi,I Bonaccursi,,bonaccursotu,FALSE,,TRUE
Aci Castello,Casteḍḍu (di Jaci),,castiḍḍisi,FALSE,TRUE,TRUE
Aci Catena,A Catina,,catinotu,TRUE,TRUE,TRUE
Aci Sant'Antonio,Sant'Antoniu,(Jaci) Sant'Antoni,"santantunaru, santantunisi",TRUE,,
Acireale,Jaci (Rijali),,jacitanu,TRUE,,TRUE
Acquaviva Platani,Acquaviva,,acquavivisi,FALSE,TRUE,
Acquedolci,Acquaduci,Euadauza,,FALSE,,
Adrano,Dirnò,"Dirnò, Atranu",durnisi,TRUE,,TRUE
Agira,Santu Fulippu,San Fulippu,,TRUE,,
Agrigento,Girgenti,Giurgenti,,1,,
Aidone,,"Aidungh, Dadungh, Aiduni, Daduni",,2,,
Alcamo,Àrcamu,,,1,,
Alcara li Fusi,Larcara,Larcara,,2,,
Alessandria della Rocca,Lisciànnira,Lisciànnira (dâ Rocca),,21,,
Alì,,Alì Susu,,2,,
Alì Terme,,Alì Jusu,,2,,
Alia,,L'Àlia,liotu,2,,
Alimena,Larmena,"Armena, Larmena",,2,,
Aliminusa,Larminusa,"Larminusa, Arminusa",arminussu,210,,
Altavilla Milicia,A Mìlicia,,miliciotu,1,,
Altofonte,U Parcu,,parchitanu,1,,
Antillo,Antiḍḍu,,,20,,
Aragona,Ragona,Raona,raunisi,210,,
Assoro,Àsaru,,asarisi,,,TRUE
Augusta,Agusta,Austa,"ustanisi, ustitanu",TRUE,,TRUE
Avola,Àvula,"Àula, Àila, Àvula",,TRUE,,TRUE
Bagheria,Bagarìa,Baarìa,"baariotu, bagariotu",TRUE,,TRUE
Balestrate,Sicciara,"Sicciara, Balistrati",sicciarotu,2,,
Barcellona Pozzo di Gotto,Barcialona (+ Pizzagottu),Baccialona (+ Pizzaottu),"baccialunisi, pizzauttisi",TRUE,,
Barrafranca,,,,,,
Basicò,,,,,,
Baucina,,,,,,
Belmonte Mezzagno,,,,,,
Belpasso,Marpassu,Mappassu,,1,,
Biancavilla,Biancaviḍḍa,,,0,,
Bisacquino,Busacchinu,,,1,,
Bivona,Vivona,,,0,,
Blufi,,,,,,
Bolognetta,,,,,,
Bompensiere,,,,,,
Bompietro,,,,,,
Borgetto,U Burgettu,,,1,,
Brolo,,,,,,
Bronte,Bronti,,,1,,
Buccheri,Buccheri,Bucchieri,,1,,
Burgio,Burgiu,,,0,,
Buscemi,Buscema,,,1,,
Buseto Palizzolo,,,,,,
Butera,Vutera,,,1,,
Caccamo,Càccamu,,,1,,
Calamonaci,Calamònaci,,,1,,
Calascibetta,,,,,,
Calatabiano,,,,,,
Calatafimi-Segesta,Catalafimi,,,2,,
Caltabellotta,Cataviḍḍotta,,,1,,
Caltagirone,Cartaggiruni,Cattaggiruni,,1,,
Caltanissetta,Nissa,,,1,,
Caltavuturo,,,,,,
Camastra,Camastra,,,0,,
Cammarata,Camarata,,,0,,
Campobello di Licata,Campubbeḍḍu (d'Alicata),Campubbieḍḍru,,1,,
Campobello di Mazara,Campubbeḍḍu (di Mazzara),,,1,,
Campofelice di Fitalia,,,,,,
Campofelice di Roccella,Campufilici (di Rucceḍḍa),,,1,,
Campofiorito,,,,,,
Campofranco,Campufrancu,,,1,,
Camporeale,,,,,,
Camporotondo Etneo,,,,,,
Canicattì,Caniattì,,,1,,
Canicattini Bagni,,,,,,
Capaci,,,,,,
Capizzi,,,,,,
Capo d'Orlando,,,,,,
Capri Leone,Crapi,,,1,,
Carini,Carini,,,1,,
Carlentini,Carrintini,Carruntini,,1,,
Caronia,,,,,,
Casalvecchio Siculo,,,,,,
Cassaro,Càssaru,Càssuru,,1,,
Castel di Iudica,,,,,,
Castel di Lucio,,,,,,
Castelbuono,,,,,,
Casteldaccia,,,,,,
Castell'Umberto,,,,FALSE,,
Castellammare del Golfo,,,,,,
Castellana Sicula,,,,,,
Castelmola,,,,,,
Casteltermini,Castirtèrmini,,,FALSE,,
Castelvetrano,Casteḍḍuvitranu,,,1,,
Castiglione di Sicilia,Castigghiuni,,,1,,
Castrofilippo,Castrufulippu,,,FALSE,,
Castronovo di Sicilia,Castrunovu,,,,,TRUE
Castroreale,Castru,,,1,,
Catania,Catania,,,1,,
Catenanuova,,,,,,
Cattolica Eraclea,A Catòlica,,,1,,
Cefalà Diana,(Cifalà) Diana,,,1,,
Cefalù,,,,,,
Centuripe,,,,,,
Cerami,,,,,,
Cerda,,,,,,
Cesarò,,,,,,
Chiaramonte Gulfi,Chiaramunti,Ciaramunti,,1,,
Chiusa Sclafani,,,,,,
Cianciana,Cianciana,,,0,,
Ciminna,,,,,,
Cinisi,,,,,,
Collesano,,,,,,
Comiso,Còmisu,,,1,,
Comitini,Cummatì,,,0,,
